word,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
states,61.043532504567125,26.691133539077487,48.67269849801427,46.380090497737555,48.297469320334315,51.874883301807905,59.9698859969886,65.59576185441607,56.87802822835475,36.66051909495749,43.16343613223341,26.748863695731675,28.835128906649107,17.492031407914173,16.637527494219164,17.13770294648226,0,0,21.150065938440868,18.568917616374666,0,0,0
united,57.03337343492403,19.60130119276003,42.40198274060139,36.90610859728507,29.804386272027866,36.775152012079786,38.373843837384385,33.65051214715278,45.993961098237484,29.575817552066933,36.57462500924451,20.218379395015933,25.883501538251956,0,0,23.451593505712566,19.049036386635912,0,0,0,0,0,0
government,29.407833177382702,21.68654600050046,42.70058825285915,41.00678733031674,56.55651611860709,57.88230327729114,51.193805119380514,50.24839989541057,47.16429089717482,62.525302505510325,53.58451494920565,42.16080664542083,50.97233416962776,53.901370856979966,59.78230218261801,25.856885147324114,34.67519904754818,16.637240255330706,44.04190201298863,35.72036060554516,20.521841102316035,19.529032404568884,0
public,28.96225994742236,25.857035615981317,26.874496103198066,21.917420814479637,35.90889912292514,28.494654208035332,20.305442030544203,17.50736104953219,18.725276782997447,20.017093248166972,0,18.807794786061333,0,26.43240301640364,21.713383339913147,0,0,0,0,0,0,0,0
law,27.625540257541328,24.60588873133706,14.333064588372302,13.857466063348417,16.877182587774815,16.723358310128997,23.31684233168423,22.62314836920069,24.108793858109216,27.664072691286943,21.380019766433367,33.17486024763596,20.66139157878007,25.395838192230947,0,0,0,0,0,0,0,0,0
country,24.952100877779262,29.610476269914088,23.8884409806205,20.786199095022624,28.547574802725485,34.09616742841834,27.188642718864273,27.511567363550583,29.960442852795918,29.125995231883405,21.581718066116704,23.718718980199572,27.472839352004268,31.48565653424551,19.4574474084936,0,0,16.297704739915794,0,20.411634631740093,20.349388656078087,26.79564911324568,29.18204445970303
measure,22.2786614980172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
citizen,21.833088268056855,23.3547418466928,0,0,15.44082662285781,15.424456693808299,17.380081738008172,0,21.3000023406596,18.105348387386982,0,0,0,0,0,0,0,0,0,0,0,0,0
nation,20.496368578175822,27.108182500625574,21.499596882558453,22.624434389140273,0,15.66800074686843,0,16.93894023623569,13.926924607354353,0,0,20.375111018233113,18.050336599044126,18.787737438130037,34.96700693700299,45.39987973541792,39.288637547436565,47.87450767350265,43.544253402672375,31.04269433577139,20.521841102316035,30.656039239730227,18.710840271221354
treaty,20.05079534821548,0,14.333064588372302,13.71606334841629,13.196520427674988,15.586819395848385,15.315121531512153,0,13.926924607354353,19.454815347937565,0,0,0,0,0,0,0,0,0,0,0,0,0
